,8,1,2,3,4,5,6,7,8,-,Y,M,
"[nan, '0', '1', '2', '3', '4', '5', '6', '7']","[10, 0.0]",,,,,,,,,,,,
"[0.0, '-', '-', '-', '-', '-', '-', '-', '-']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[10, 0.3]",,,
"[1.0, '-', '-', '-', '-', '-', '-', '-', '-']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,"[1, 1]",,
"[2.0, '-', '-', '-', '-', '-', '-', '-', 'Y']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,,,"[1, 0]",
"[3.0, '-', '-', '-', '-', '-', 'Y', '-', 'M']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,"[0, None]",,,"[1, 1]",,
"[4.0, '-', '-', 'Y', '-', '-', 'M', '-', 'Y']",,"[0, None]","[0, None]",,"[0, None]","[0, None]",,"[0, None]",,,,"[1, 0]",
"[5.0, '-', '-', 'M', 'Y', '-', 'Y', '-', 'M']",,"[0, None]","[0, None]",,,"[0, None]",,"[0, None]",,,"[1, 1]",,
"[6.0, '-', '-', 'Y', 'M', '-', 'M', 'Y', 'Y']",,"[0, None]","[0, None]",,,"[0, None]",,,,,,"[1, 0]",
"[7.0, 'Y', '-', 'M', 'Y', '-', 'Y', 'M', 'M']",,,"[0, None]",,,"[0, None]",,,,,"[1, 1]",,
"[1.0, 'Y', '-', '-', '-', '-', '-', '-', '-']",,,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[1, 1]",,,
"[2.0, 'M', 'Y', '-', '-', '-', '-', '-', '-']",,,,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[1, 0]",,,
"[3.0, 'Y', 'M', '-', '-', '-', '-', 'Y', '-']",,,,"[0, None]","[0, None]","[0, None]","[0, None]",,"[0, None]","[1, 1]",,,
"[4.0, 'M', 'Y', '-', '-', 'Y', '-', 'M', '-']",,,,"[0, None]","[0, None]",,"[0, None]",,"[0, None]","[1, 0]",,,
"[5.0, 'Y', 'M', 'Y', '-', 'M', '-', 'Y', '-']",,,,,"[0, None]",,"[0, None]",,"[0, None]","[1, 1]",,,
"[1.0, '-', 'Y', '-', '-', '-', '-', '-', '-']",,"[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[2, 1.0]",,,
"[2.0, '-', 'M', '-', '-', 'Y', '-', '-', '-']",,"[0, None]",,"[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[1, 0]",,,
"[3.0, '-', 'Y', '-', '-', 'M', 'Y', '-', '-']",,"[0, None]",,"[0, None]","[0, None]",,,"[0, None]","[0, None]","[1, 1]",,,
"[4.0, '-', 'M', '-', 'Y', 'Y', 'M', '-', '-']",,"[0, None]",,"[0, None]",,,,"[0, None]","[0, None]","[1, 0]",,,
"[5.0, '-', 'Y', '-', 'M', 'M', 'Y', '-', 'Y']",,"[0, None]",,"[0, None]",,,,"[0, None]",,"[1, 1]",,,
"[6.0, '-', 'M', '-', 'Y', 'Y', 'M', 'Y', 'M']",,"[0, None]",,"[0, None]",,,,,,"[1, 0]",,,
"[7.0, '-', 'Y', 'Y', 'M', 'M', 'Y', 'M', 'Y']",,"[0, None]",,,,,,,,"[1, 1]",,,
"[1.0, '-', '-', '-', '-', '-', 'Y', '-', '-']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]","[2, 0.0]",,,
"[2.0, '-', '-', '-', '-', '-', 'M', 'Y', '-']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,,"[0, None]","[1, 1]",,,
"[3.0, '-', '-', '-', '-', '-', 'Y', 'M', 'Y']",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,,,"[1, 0]",,,
"[4.0, 'Y', '-', '-', '-', '-', 'M', 'Y', 'M']",,,"[0, None]","[0, None]","[0, None]","[0, None]",,,,"[1, 1]",,,
"[5.0, 'M', '-', 'Y', '-', '-', 'Y', 'M', 'Y']",,,"[0, None]",,"[0, None]","[0, None]",,,,"[1, 0]",,,
"[6.0, 'Y', '-', 'M', '-', 'Y', 'M', 'Y', 'M']",,,"[0, None]",,"[0, None]",,,,,"[1, 1]",,,
"[7.0, 'M', '-', 'Y', 'Y', 'M', 'Y', 'M', 'Y']",,,"[0, None]",,,,,,,"[1, 0]",,,
"[8.0, 'Y', 'Y', 'M', 'M', 'Y', 'M', 'Y', 'M']",,,,,,,,,,"[1, 1]",,,
"[2.0, '-', 'M', '-', '-', '-', '-', '-', '-']",,"[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,"[1, 0]",,
"[3.0, '-', 'Y', '-', '-', '-', 'Y', '-', '-']",,"[0, None]",,"[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]",,,"[1, 1]",
"[4.0, 'Y', 'M', '-', '-', '-', 'M', '-', '-']",,,,"[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]",,"[1, 0]",,
"[5.0, 'M', 'Y', '-', 'Y', '-', 'Y', '-', '-']",,,,"[0, None]",,"[0, None]",,"[0, None]","[0, None]",,,"[1, 1]",
"[2.0, '-', '-', '-', 'Y', '-', 'M', '-', '-']",,"[0, None]","[0, None]","[0, None]",,"[0, None]",,"[0, None]","[0, None]","[1, 0]",,,
